code1,code2,str
16,255,"""1"""
17,255,"""-"""
18,255,"""no"""
19,255,"""su"""
32,255,"""2"""
33,255,"""ni"""
34,255,"""to"""
35,255,"""ma"""
48,255,"""3"""
49,255,"""ha"""
50,255,"""ka"""
51,255,"""ki"""
64,255,"""4"""
65,255,""","""
66,255,"""nn"""
67,255,"""ru"""
80,255,"""5"""
81,255,"""ti"""
82,255,COMMAND_4
83,255,"""tu"""
128,255,"""6"""
129,255,"""gu"""
130,255,"""ku"""
131,255,"""te"""
144,255,"""7"""
145,255,"""ba"""
146,255,"""u"""
147,255,"""ta"""
160,255,"""8"""
161,255,"""ko"""
162,255,"""i"""
163,255,"""de"""
176,255,"""9"""
177,255,"""ga"""
178,255,"""si"""
179,255,"""."""
192,255,"""0"""
193,255,"""hi"""
194,255,"""na"""
195,255,"""bu"""
209,255,"""ge"""
50,209,"""uxo"""
34,195,"""che"""
50,195,"""vu"""
17,194,"""a"""
19,194,"""h"""
33,194,"""s"""
34,194,"""so"""
35,194,"""j"""
49,194,"""d"""
50,194,"""e"""
51,194,"""k"""
65,194,"""f"""
67,194,"""l"""
81,194,"""g"""
83,194,COMMAND_5
146,194,"""x"""
34,193,"""je"""
50,193,"""we"""
34,192,"""\"""""
50,192,"""["""
34,179,"""po"""
50,179,"""pu"""
16,178,"""xya"""
17,178,"""di"""
18,178,"""wo"""
19,178,"""ze"""
32,178,"""mya"""
33,178,"""me"""
34,178,"""sa"""
35,178,"""za"""
48,178,"""myu"""
49,178,"""ke"""
50,178,"""o"""
51,178,"""gi"""
64,178,"""myo"""
65,178,"""thi"""
66,178,"""ri"""
67,178,"""ro"""
80,178,"""xwa"""
81,178,"""dhi"""
82,178,"""zu"""
83,178,"""nu"""
16,177,"""xyo"""
17,177,"""ryu"""
18,177,"""ryo"""
19,177,"""rya"""
32,177,"""pya"""
33,177,"""ju"""
34,177,"""ya"""
48,177,"""pyu"""
49,177,"""jo"""
50,177,"""mi"""
51,177,"""ja"""
64,177,"""pyo"""
65,177,"""gyu"""
66,177,"""gyo"""
67,177,"""gya"""
81,177,"""nyu"""
82,177,"""nyo"""
83,177,"""nya"""
34,176,"""'"""
50,176,""";"""
34,163,"""pi"""
50,163,"""be"""
16,162,"""xa"""
17,162,"""fa"""
18,162,"""ho"""
19,162,"""du"""
32,162,"""xi"""
33,162,"""go"""
34,162,"""zi"""
35,162,"""zo"""
48,162,"""xu"""
49,162,"""hu"""
50,162,"""re"""
51,162,"""bo"""
64,162,"""xe"""
65,162,"""fi"""
66,162,"""mo"""
67,162,"""mu"""
80,162,"""xo"""
81,162,"""fe"""
82,162,"""yu"""
83,162,"""fo"""
16,161,"""xyu"""
17,161,"""hyu"""
18,161,"""hyo"""
19,161,"""hya"""
32,161,"""bya"""
33,161,"""shu"""
34,161,"""do"""
48,161,"""byu"""
49,161,"""sho"""
50,161,"""yo"""
51,161,"""sha"""
64,161,"""byo"""
65,161,"""kyu"""
66,161,"""kyo"""
67,161,"""kya"""
81,161,"""chu"""
82,161,"""cho"""
83,161,"""cha"""
34,160,"""("""
50,160,"""\\"""
34,147,"""da"""
50,147,"""ne"""
34,146,"""ra"""
50,146,"""a"""
129,146,"""/"""
130,146,COMMAND_2
131,146,"""?"""
34,145,"""pe"""
50,145,"""pa"""
34,144,"""*"""
50,144,"""]"""
34,131,"""wa"""
50,131,"""se"""
34,130,"""bi"""
50,130,"""he"""
34,129,"""she"""
50,129,"""wi"""
34,128,"""z/"""
50,128,"""z."""
66,83,"""!"""
66,82,COMMAND_1
66,81,COMMAND_3
